"Last Name","First Name","Title","Middle Name","Nickname","Name Suffix","District","Party","Rm. Number","Office Building","Office Address","City","State","Zipcode","Area Code","Office Phone"
"Anderson","Bruce D.","Senator","","","","29","R","133","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-5981"
"Bakk","Thomas M.","Senator","","","","03","DFL","226","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-8881"
"Benson","Michelle R.","Senator","","","","31","R","115","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-3219"
"Bonoff","Terri E.","Senator","","","","44","DFL","325","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4314"
"Brown","David M.","Senator","","","","15","R","109","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-8075"
"Carlson","Jim","Senator","","","","51","DFL","111","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","297-8073"
"Chamberlain","Roger C.","Senator","","","","38","R","129","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-1253"
"Champion","Bobby Joe","Senator","","","","59","DFL","306","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-9246"
"Clausen","Greg D.","Senator","","","","57","DFL","320","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4120"
"Cohen","Richard","Senator","","","","64","DFL","121","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-5931"
"Dahle","Kevin L.","Senator","","","","20","DFL","317","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-1279"
"Dahms","Gary H.","Senator","","","","16","R","121","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-8138"
"Dibble","D. Scott","Senator","","","","61","DFL","111","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-4191"
"Dziedzic","Kari","Senator","","","","60","DFL","320","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-7809"
"Eaton","Chris A.","Senator","","","","40","DFL","321","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-8869"
"Eken","Kent","Senator","","","","04","DFL","303","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-3205"
"Fischbach","Michelle L.","Senator","","","","13","R","15","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-2084"
"Franzen","Melisa","Senator","","","","49","DFL","306","Capitol","75 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1606","651","296-6238"
"Gazelka","Paul E.","Senator","","","","09","R","145","State Office Bldg.","100 Rev. Dr. Martin Luther King Jr. Blvd.","St. Paul","MN","55155-1206","651","296-4875"
